课程号,课程名称,学分,教师号,教师姓名,上课时间,上课地点,容量,人数,校区,选课限制,答疑时间,答疑地点
853004,体育(4),1,2422,许凤,一05-06男生羽毛球,体育馆内场,22,22,嘉定,人数已满,一15:45-17:15,田径场
853004,体育(4),1,2426,许凤,三03-04女生羽毛球,体育馆内场,20,18,嘉定,,一15:45-17:15,田径场
853004,体育(4),1,2501,刘春辉,三01-02男女乒乓球,体育馆内场,22,22,嘉定,人数已满,三15:45-17:15,田径场
853004,体育(4),1,2502,刘春辉,三07-08男女乒乓球,体育馆内场,22,22,嘉定,人数已满,三15:45-17:15,田径场
853004,体育(4),1,2503,刘春辉,三09-10男女乒乓球,体育馆内场,22,22,嘉定,人数已满,三15:45-17:15,田径场
853004,体育(4),1,2515,王旨明,三03-04女生篮球,篮球场,20,19,嘉定,,三12:30-14:00,田径场南侧办公室
853004,体育(4),1,2567,陈琳,四07-08男女跆拳道,体操房,20,18,嘉定,,四12:00-13:30,田径场
853004,体育(4),1,2572,时静,一07-08女生操舞,体操房,21,20,嘉定,,一12:30-14:00,体操房
853004,体育(4),1,2801,陆英浩,一05-06女生网球,网球场,20,19,嘉定,,二15:45-17:15,田径场
853004,体育(4),1,2802,陆英浩,二01-02女生网球,网球场,20,20,嘉定,人数已满,二15:45-17:15,田径场
853004,体育(4),1,2803,陆英浩,二03-04男生网球,网球场,22,24,嘉定,人数已满,二15:45-17:15,田径场
853004,体育(4),1,2804,陆英浩,二05-06女生网球,网球场,20,18,嘉定,,二15:45-17:15,田径场
853005,体育(5),1,2565,陈琳,四01-02男女跆拳道,体操房,28,28,嘉定,人数已满,四12:00-13:30,田径场
874028,大学生社会实践,1,2000,待定,四7-8 限微电子,1-333,0,0,嘉定,人数已满,四5-6,微电子学院216
914006,军事理论A,2,2000,孙士庆,"五7-8 (1周,10周)",2-112,100,95,嘉定,,五3-4,2-206
1013010,线性代数B,3,2001,姜勤,一1-2 五3-4单,1-331,88,80,嘉定,,一5-6,1-201
1013010,线性代数B,3,2002,姜勤,一3-4 五3-4双,1-331,85,72,嘉定,,一5-6,1-201
1013010,线性代数B,3,2003,徐玉兰,三1-2 五3-4单,1-333,80,70,嘉定,,三5-6,1-201
1013010,线性代数B,3,2004,徐玉兰,三3-4 五3-4双,1-333,80,33,嘉定,,三5-6,1-201
1013010,线性代数B,3,2005,徐玉兰,二7-8 五1-2单,1-231,82,77,嘉定,,三5-6,1-201
1013010,线性代数B,3,2006,徐玉兰,二5-6 五1-2双,1-231,80,36,嘉定,,三5-6,1-201
1013010,线性代数B,3,2007,董建锋,一1-2 三3-4单 国际学生,线上,40,29,嘉定,,一5-6,1-201
1014016,概率论与数理统计A,5,2000,鞠先孟,一3-4 三5-6单 五1-2 微电子,1-301,80,77,嘉定,,一5-6,1-201
1014115,高等数学(1),4,2001,顾德永,一1-2 三3-4,1-231,80,37,嘉定,,三5-6,1-201
1014115,高等数学(1),4,2002,顾德永,一3-4 三7-8,1-231,80,36,嘉定,,三5-6,1-201
1014115,高等数学(1),4,2003,崔洪泉,二3-4 四7-8,1-231,105,101,嘉定,,四3-4,1-201
1014115,高等数学(1),4,2004,崔洪泉,二1-2 四5-6,1-231,107,107,嘉定,人数已满,四3-4,1-201
1014115,高等数学(1),4,2005,杨建生,三1-2 五3-4,1-233,95,88,嘉定,,三5-6,1-201
1014115,高等数学(1),4,2006,杨建生,三3-4 五1-2,1-233,95,91,嘉定,,三5-6,1-201
1014115,高等数学(1),4,2007,董建锋,一3-4 三1-2 国际学生,线上,95,38,嘉定,,一5-6,1-201
1034119,大学物理(3),4,2001,张萌颖,一1-2 三3-4,1-203,35,37,嘉定,人数已满,三5-6,嘉定校区化学楼415
1034119,大学物理(3),4,2002,张萌颖,一5-6 三1-2,1-203,35,35,嘉定,人数已满,三5-6,嘉定校区化学楼415
1034122,大学物理实验(3),1,2001,马洪良,四3-4 ,宝山校区F楼101,25,26,嘉定,人数已满,三2-3,F501
1034122,大学物理实验(3),1,2002,李铭,四3-4,不开,0,0,嘉定,"禁止选课,人数已满",四5-6,F111
1034122,大学物理实验(3),1,2003,鲁玉明,四3-4 ,不开,0,0,嘉定,人数已满,四7-8,G407
1034122,大学物理实验(3),1,2004,欧忠敏,四3-4,宝山校区F楼101,25,23,嘉定,,四7-8,F113
1035035,固体物理学,6,2000,曾志刚,一5-6 三5-6 五3-4,1-207,70,66,嘉定,,三7-8,1-201
1035131,统计物理,5,2000,吴绍锋,二7-8 三1-2单 五1-2,,0,0,嘉定,人数已满,二5-6,1-201
0103SY02,研究方法和前沿(广义相对论),2,2001,吴绍锋,二1-2,,0,0,嘉定,人数已满,二5-6,1-201
0103SY02,研究方法和前沿(广义相对论),2,2002,吴绍锋,二3-4,2-105,32,15,嘉定,,二5-6,1-201
1055001,半导体物理,6,2000,徐飞,一1-2 三3-4 四1-2,1-205,70,68,嘉定,,四5-6,1-201
1056027,信号与系统A(自学),4,2000,吴伟,二5-6 四7-8,1-205,65,56,嘉定,,四5-6,1-201
1056041,半导体检测技术,4,2000,徐飞,一3-4 四3-4,1-205,65,33,嘉定,,四5-6,1-201
3004419,旅游英语,2,2000,贺莉,二3-4 限微电子,1-203,30,31,嘉定,人数已满,二7-8,1-201
3004475,通用英语D(4),2,2000,待定,二1-2 限微电子,,10,0,嘉定,禁止选课,,
3004486,英语听力,2,2000,待定,二7-8 限微电子,,0,0,嘉定,"禁止选课,人数已满",,
3004489,英语写作,2,2000,贺莉,二5-6 限微电子,1-203,30,10,嘉定,,二7-8 五3-4,1-201
0400J508,金融市场与金融衍生工具,2,2000,殷凤,三1-2,1-331,80,77,嘉定,,三5-6,1-201
0400RH30,爱情心理密码,4,2000,陆瑜芳,一7-8 三7-8,1-203,70,68,嘉定,,一5-6,1-201
0600R800,环境问题与法,2,2000,颜士鹏,二7-8,1-331,100,99,嘉定,,二5-6,1-201
0600R807,知识创新与知识产权保护,2,2000,高宏,二1-2,1-233,100,100,嘉定,人数已满,二3-4,1-201
0900L601,人工智能与认知科学,2,2000,李晓溪,四5-6,1-431,80,53,嘉定,,四7-8,1-201
1100L005,生活化学品探究,2,2000,杜飞虎,三9-10,1-233,100,93,嘉定,,三7-8,1-201
1200L001,人类健康与遗传,2,2000,周树敏,三3-4,1-331,90,87,嘉定,,三5-6,1-201
1300L001,数字艺术,2,2000,钱小燕,二5-6,1-331,90,77,嘉定,,一7-8,教师休息室
1300R601,艺术与审美,2,2000,钱楷,三7-8,1-331,95,90,嘉定,,三5-6,1-201
1400RH01,经典华语电影,4,2000,祝明杰,二3-4 四3-4,2-205,40,39,嘉定,,二5-6,
1500J001,全球创新与中国企业家精神,3,2000,胡笑寒,二9-10 四9-10单 国际生,在线,7,6,嘉定,,二7-8,文荟楼410
1500R010,美国节日及其文化,2,2000,孙燕,四3-4 含国际生,文博楼204,45,49,嘉定,人数已满,四7-8,文荟楼308
15145035,金融体系,4,2001,卜南阳,双学位上课时间另见学院安排 全英文,,70,44,嘉定,,三3-4,文商楼414
15145035,金融体系,4,2002,谢娅敏,一3-4 三3-4 含国际生 全英文,文博楼402,70,69,嘉定,,一5-6,文商楼410
15145044,金融专业导论(1),1,2001,孙覃玥,三3-4单,文博楼406,72,73,嘉定,人数已满,一3-4,文商楼406
15145044,金融专业导论(1),1,2002,孙覃玥,三3-4双 含国际生 全英文,文达楼602,60,64,嘉定,人数已满,一3-4,文商楼406
15145046,定量商务分析,4,2001,汪健,双学位上课时间另见学院安排 全英文,,70,43,嘉定,,二7-8,文商楼414
15145046,定量商务分析,4,2002,刘云啸,二9-10 四3-4 含国际生 全英文,文博楼402,70,69,嘉定,,二3-4,文商楼408
15145047,投资分析,4,2001,侯克强等,双学位上课时间另见学院安排 全英文,,70,43,嘉定,,五3-4,文商楼410
15145047,投资分析,4,2002,朱杰,一7-8 三7-8 含国际生 全英文,文博楼402,71,71,嘉定,人数已满,三5-6,文商楼405
15146040,估值与风险建模,4,2000,张倩,二1-2 四7-8,文博楼301,55,34,嘉定,,二5-6,文商楼410
15146041,对冲基金与基金管理,4,2000,吴军,一3-4 二5-6单 五3-4 上机 含国际生,"文博楼204,文博楼204,文德楼201",45,12,嘉定,,一7-8,文商楼410
15173006,数据库基础,4,2001,喻钢,一7-8 三9-10单 四5-6 上机,"文德楼201,203,201",40,35,嘉定,,四3-4,文商楼514
15173006,数据库基础,4,2002,喻钢,一5-6 三11-12单 四7-8 上机,"文德楼201,203,301",40,36,嘉定,,四3-4,文商楼514
15173325,信息处理与实践,4,2001,孙向阳,一5-6 三1-2双 五3-4上机,"文德楼301,203,301",46,46,嘉定,人数已满,,
15173325,信息处理与实践,4,2002,孙旭婷,一3-4 二7-8 上机 三9-10双,"文德楼201,201,203",40,24,嘉定,,,
15175094,高级程序设计,3,2001,胡珉,二3-4 四1-2 上机,文德楼201,45,40,嘉定,,四5-6,文商楼514
15175094,高级程序设计,3,2002,胡珉,二1-2 四3-4 上机,文德楼201,48,42,嘉定,,四5-6,文商楼514
15175123,数据分析导论,4,2001,陈娟,一3-4 三5-6 上机 五1-2单,"文德楼203,文德楼301,文德楼203",43,38,嘉定,,四3-4,文商楼505
15175123,数据分析导论,4,2002,陈娟,一1-2 三1-2 上机 五1-2双,"文德楼301,文德楼201,文德楼203",43,42,嘉定,,四3-4,文商楼505
15176017,IT项目管理,4,2000,孙燕红,一3-4 三5-6 上机 五1-2单,"文博楼304,文德楼203,文博楼302",40,40,嘉定,人数已满,一5-6,文商楼509
15176031,商务信息分析,4,2000,孙向阳,一3-4 三3-4,"文博楼206,文达楼408",30,18,嘉定,,三5-6,文商楼512
15176114,数据仓库技术及应用,4,2000,徐伟,一11-12单 二9-10 四9-10 上机,文德楼201,42,42,嘉定,人数已满,二7-8,文德楼202
15176115,信息与管理研究方法,4,2000,孙燕红,一1-2 三7-8,"文博楼204,文博楼208",30,10,嘉定,,一5-6,文商楼509
15176116,数据模型与决策,4,2000,严帅,二5-6 四9-10,文德楼203,30,9,嘉定,,四7-8,文商楼509
15176119,基于移动终端的系统开发,4,2000,刘启刚,一5-6 二9-10 上机 四5-6 上机,不开,0,0,嘉定,人数已满,二9-10,文商楼512
15176133,Python程序设计,4,2001,牟立峰,一9-10 三9-10 上机 五3-4单,"文德楼203,文德楼201,文博楼302",30,27,嘉定,,三7-8,文商楼510
15176133,Python程序设计,4,2002,牟立峰,一11-12 三11-12 上机 五3-4双,"文德楼203,文德楼201,文博楼302",30,30,嘉定,人数已满,三7-8,文商楼510
15176133,Python程序设计,4,2003,陈娟,一5-6 三3-4 上机 五3-4单,"文德楼203,文德楼201,文达楼605",30,28,嘉定,,四3-4,文商楼505
15176133,Python程序设计,4,2004,孙向阳,一1-2 三1-2单 五1-2 上机,"文德楼201,文德楼203,文德楼201",30,28,嘉定,,三5-6,文商楼512
15176133,Python程序设计,4,2005,刘启刚,一9-10双 二5-6 五7-8 上机,文德楼201,30,26,嘉定,,二7-8,文商楼512
15195013,人力资源管理,4,2001,程骏骏,双学位上课时间另见学院安排 全英文,,70,45,嘉定,,二7-8,在线
15195013,人力资源管理,4,2002,吴怡,二5-6 四5-6,"文达楼506,文博楼404",70,68,嘉定,,四7-8,文商楼312
15195013,人力资源管理,4,2003,吴怡,二3-4 四3-4,"文博楼402,404",68,66,嘉定,,四7-8,文商楼312
15195013,人力资源管理,4,2004,陈海宁,一7-8 三7-8 国际生 全英文,文博楼205,30,19,嘉定,,三5-6,文商楼303
15195016,管理与组织,5,2001,潘多英,一5-6 三5-6双 四7-8,"文博楼303,504,302",42,32,嘉定,,四3-4,文商楼305
15195016,管理与组织,5,2002,吕康娟,一9-10双 二5-6 四5-6,文博楼304,42,34,嘉定,,二7-8,文荟楼418
15195024,管理技巧,4,2001,郑小松,双学位上课时间另见学院安排 全英文,,65,57,嘉定,,一3-4,文荟楼207
15195024,管理技巧,4,2002,郑小松,双学位上课时间另见学院安排 全英文,,60,11,嘉定,,一3-4,文荟楼207
15195024,管理技巧,4,2003,王瑾,二5-6 五1-2,文达楼605,55,25,嘉定,,五3-4,文商楼308
15195024,管理技巧,4,2004,王有森,一7-8 四9-10,"文达楼604,文博楼402",60,58,嘉定,,四5-6,文商楼305
15195024,管理技巧,4,2005,王有森,一5-6 四7-8,"文达楼604,文博楼402",60,57,嘉定,,四5-6,文商楼305
15195024,管理技巧,4,2006,郑小松等,一9-10 三9-10 在线课程 含国际生 全英文,在线,73,71,嘉定,,一3-4,文荟楼207
15195044,市场营销概论,5,2001,高丽,一3-4 三5-6 五3-4双 含国际生 全英文,文博楼502,60,51,嘉定,,三7-8,文商楼306
15195044,市场营销概论,5,2002,田圣炳,一7-8 三1-2 五7-8双,"文达楼603,文博楼402,文博楼402",68,65,嘉定,,一5-6,文商楼305
15195109,导论之商业前沿,1,2001,邹海亮,三5-6单,不开,0,0,嘉定,"禁止选课,人数已满",三3-4,文商楼307
15195109,导论之商业前沿,1,2002,邹海亮,三5-6双,不开,0,0,嘉定,"禁止选课,人数已满",三3-4,文商楼307
15195109,导论之商业前沿,1,2003,邹海亮,三7-8单 含国际生 全英文,不开,0,0,嘉定,"禁止选课,人数已满",三3-4,文商楼307
15195121,管理学研究方法：定量方法,3,2001,张可,二1-2 四7-8单,"文博楼402,404",68,66,嘉定,,二5-6,文商楼306
15195121,管理学研究方法：定量方法,3,2002,张可,二3-4 四7-8双 含国际生 全英文,文博楼502,56,47,嘉定,,二5-6,文商楼306
15195126,商业洞察与创新,4,2001,蔡震尧,双学位上课时间另见学院安排 全英文,,60,58,嘉定,,一7-8,文商楼308
15195126,商业洞察与创新,4,2002,蔡震尧,双学位上课时间另见学院安排 全英文,,60,41,嘉定,,一7-8,文商楼308
15195126,商业洞察与创新,4,2003,忻莹,双学位上课时间另见学院安排 全英文,,60,11,嘉定,,四7-8,文商楼308
15195126,商业洞察与创新,4,2004,帅萍等,一1-2 三1-2,文达楼506,70,65,嘉定,,三5-6,文商楼308
15195126,商业洞察与创新,4,2005,帅萍等,一3-4 三3-4,文达楼506,68,63,嘉定,,三5-6,文商楼308
15195126,商业洞察与创新,4,2006,忻莹等,二1-2 五3-4,文达楼506,70,70,嘉定,人数已满,四7-8,文商楼308
15195126,商业洞察与创新,4,2007,忻莹等,二3-4 五1-2,文达楼506,68,61,嘉定,,四7-8,文商楼308
15195126,商业洞察与创新,4,2008,忻莹,一5-6 三5-6 国际生,文博楼204,48,35,嘉定,,四7-8,文商楼308
15196036,公共管理,4,2000,陈跃刚,一3-4 三5-6,文达楼408,55,21,嘉定,,一5-6,文商楼303
15196062,中级财务会计,4,2001,周静,二9-10 四5-6,"文博楼502,301",57,40,嘉定,,二5-6,文商楼508
15196062,中级财务会计,4,2002,周静,二7-8 四9-10,"文达楼604,文博楼502",55,49,嘉定,,二5-6,文商楼508
15196063,高级财务会计,4,2001,赵敏,二1-2 四1-2,不开,0,0,嘉定,人数已满,二5-6,文商楼506
15196063,高级财务会计,,2002,赵敏,一9-10 四3-4,不开,0,0,嘉定,人数已满,二5-6,文商楼506
15196092,品牌管理,4,2000,高丽,一5-6 三3-4 含国际生 全英文,文博楼502,60,61,嘉定,人数已满,三7-8,文商楼306
15196102,网络和新媒体营销,4,2000,张可,二7-8 四5-6 含国际生 全英文,文博楼502,56,58,嘉定,"禁止退课,人数已满",二5-6,文商楼306
15196114,市场决策模拟,3,2001,吴海宁,二7-8单 四1-4 上机,文德楼305,55,54,嘉定,,四5-6,文商楼310
15196114,市场决策模拟,3,2002,吴海宁,二9-10单 三5-8 上机,文德楼305,55,46,嘉定,,四5-6,文商楼310
15196114,市场决策模拟,3,2003,吴海宁,三3-4单 五1-4 上机 国际生 全英文,在线,19,15,嘉定,,四5-6,文商楼310
15196117,新零售管理,3,2000,马汉阳等,一5-6 三7-8双,"文达楼408,文博楼204",55,18,嘉定,,一7-8,文商楼303
15196118,采购与物流管理,3,2000,吕芹,二3-4 四7-8单,"文德楼301(1-5周),文达楼605(6-10周)",55,28,嘉定,,四3-4,文商楼304
15196124,服务创新与变革,3,2000,帅萍,一7-8 三7-8单 含国际生 全英文,文博楼204,55,25,嘉定,,三5-6,文商楼308
15196125,家族企业管理,3,2000,赖俊彦,三1-2 五7-8单,"文达楼602,文博楼502",55,54,嘉定,,三3-4,文商楼309
15199107,媒体心理学,4,2000,顾浩东,二5-6 四5-6 国际生 全英文,在线,30,34,嘉定,人数已满,四7-8,文荟楼207
15199132,数字营销,4,2000,郑小松等,三11-12 四11-12 在线课程 ,在线,40,16,嘉定,,一3-4,文荟楼207
1519A001,毕业设计(论文),30,2000,胡笑寒,另见学院安排,,20,7,嘉定,,五3-4,文荟楼206
15205008,管理会计,5,2000,赵敏,一9-10单 二9-10 四9-10 全英文,文博楼205,55,18,嘉定,,二5-6,
15205016,商务统计学,5,2001,姜爱萍,一5-6 二7-8单 四7-8 在线与课内，混合式教学,文博楼508,48,47,嘉定,,二3-4,文商楼504
15205016,商务统计学,5,2002,姜爱萍,一7-8 二5-6单 四5-6 在线与课内，混合式教学 含国际生 全英文,"文博楼303,文博楼303，文达楼605",55,42,嘉定,,二3-4,文商楼504
15206006,财务报表分析,4,2001,刘焱,三5-6 五3-4,文博楼205,45,15,嘉定,,四3-4,文商楼503
15206006,财务报表分析,4,2002,刘焱,一3-4 三7-8,"文博楼301,502",55,46,嘉定,,四3-4,文商楼503
15206027,税法与税收筹划,4,2000,王立夏,二5-6 四5-6,"文博楼208,文达楼408",45,16,嘉定,,四7-8,文商楼508
15209034,高级财务管理,4,2000,陈影,二7-8 四3-4,"文达楼408,文博楼205",45,7,嘉定,,二3-4,文商楼503
15209035,高级管理会计,4,2000,陈影,一5-6 四5-6,不开,0,0,嘉定,人数已满,二3-4,文商楼503
15574289,基础英语A,10,2001,陈红,一3-4 二1-4 四3-4 五1-2,文博楼212,21,20,嘉定,,三5-6,文荟楼302
15574289,基础英语A,10,2002,丁妍,一3-4 二3-4 四1-4 五3-4,"文博楼210,207,207,211",21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2003,黄常钰等,一3-4 一7-8 二1-2 四7-8 五1-2,"文博楼211,208,211,205,210",22,22,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2004,旷群,一5-6 二3-4 二5-6 四3-4 四5-6,"文博楼310,310,310,209,209",21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2005,何琳琳等,一1-2 二1-2 二5-6 四5-6 五1-2,"文博楼208,208,210,211,208",21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2006,John Johnson,一5-6 二7-8 三5-6 四3-4 四7-8,"文博楼209,305,210,210,210",21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2007,何琳琳,一3-4 二3-4 四1-4 五3-4,文博楼208,21,20,嘉定,,三5-6,文荟楼302
15574289,基础英语A,10,2008,罗伟等,一3-4 二7-8 三5-8 四7-8 ,"文博楼307,207,305,208",21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2009,孙燕,一5-6 二3-6 四5-6 五3-4,"文博楼308,308,208,206",21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2010,陈红等,一7-8 二3-4 三7-8 四1-2 四5-6,"文博楼209,305,210,212,210",21,22,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2011,旷群等,一3-4 一5-6 二5-6 三3-4 四5-6 ,"文博楼310,307,212,212,212",21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2012,Anthony F,一1-2 二1-4 三3-4 五1-2,文博楼209,21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2013,雷婷等,一3-4 二5-6 二7-8 三3-4 五1-2,"文博楼305,305,211,210,207",24,23,嘉定,,三5-6,文荟楼302
15574289,基础英语A,10,2014,孙燕等,一1-2 一3-4 二7-8 三3-4 四3-4,"文博楼211,308,308,208,211",24,24,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2015,丁妍等,一1-2 二1-2 三1-2 五1-2 五3-4,"文博楼210,207,209,211,209",24,24,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2016,黄常钰,一5-6 二5-8 四5-6 五3-4,"文博楼208,307,205,210",21,20,嘉定,,三5-6,文荟楼302
15574289,基础英语A,10,2017,雷婷,一1-2 二5-6 四1-4 五3-4,"文博楼305,211,206,207",21,20,嘉定,,三5-6,文荟楼302
15574289,基础英语A,10,2018,陈红等,一1-2 一3-4 二5-6 三5-6 五3-4,"文博楼212,209,209,209,212",21,20,嘉定,,三5-6,文荟楼302
15574289,基础英语A,10,2019,Soh Lian Hong,一5-6 二3-4 三1-2 三5-6 四1-2 ,"文博楼211,211,208，208,211",21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2020,Kaan,一7-8 二7-8 三5-8 四7-8,"文博楼307,212,212,212",21,21,嘉定,人数已满,三5-6,文荟楼302
15574289,基础英语A,10,2021,Anthony H,二3-4 二7-8 三5-8 四7-8,"文博楼210,210,211,211",21,21,嘉定,人数已满,三5-6,文荟楼302
15574290,现代汉语(1),6,2000,孙兰,一7-8 三5-6 五7-8 国际生,在线,30,33,嘉定,人数已满,五3-4,在线
15574294,现代汉语(4),4,2000,孙兰,一5-6 三7-8 国际生,在线,23,20,嘉定,,五3-4,在线
15575024,会计学,5,2001,赵敏,一11-12单 二3-4 四7-8,"文博楼502,504,406",62,57,嘉定,,二5-6,文商楼506
15575024,会计学,5,2002,阎蓓蓓,一9-10单 三7-8 四1-2,"文博楼402,文达楼603,文达楼506",63,60,嘉定,,四5-6,文商楼504
15575024,会计学,5,2003,王妍玲,二7-8 四3-4 五1-2单,"文博楼402,408,402",69,64,嘉定,,二5-6,文商楼505
15575024,会计学,5,2004,阎蓓蓓,一11-12单 三5-6 四3-4,"文博楼402,文达楼603,文达楼506",66,57,嘉定,,四5-6,文商楼504
15575024,会计学,5,2005,刘焱,一1-2 三3-4双 五1-2,"文达楼602,文博楼406,文达楼603",64,54,嘉定,,四3-4,文商楼503
15575024,会计学,5,2006,甘丽凝,一3-4 三5-6 五1-2双,"文达楼602,文达楼604,文博楼402",55,52,嘉定,,一5-6,文商楼507
15575024,会计学,5,2007,陈影,一3-4 二5-6 四1-2单,文博楼306,48,46,嘉定,,二3-4,文商楼503
15575024,会计学,5,2008,程敏,一5-6 三5-6 五1-2双,文博楼302,48,35,嘉定,,五3-4,文商楼503
15575024,会计学,5,2009,陈婉怡,二9-10 四11-12单 五1-2 国际生 全英文,在线,60,59,嘉定,,三3-4,文商楼506
15575025,国际贸易理论,4,2001,周习,二5-6 四3-4,"文达楼602,文博楼506",59,47,嘉定,,五3-4,文商楼409
15575025,国际贸易理论,4,2002,周习,二3-4 四5-6,文博楼506,59,53,嘉定,,五3-4,文商楼409
15575025,国际贸易理论,4,2003,周习,二7-8 四7-8 国际生,在线,20,11,嘉定,,五3-4,文商楼409
15575087,计量经济,4,2001,吴茂国,二11-12 四7-8 上机 五3-4单 含国际生 全英文,"文博楼502,文德楼201,文博楼502",65,60,嘉定,,四3-4,文商楼409
15575087,计量经济,4,2002,龚玉婷,一5-6 三5-6单 五3-4 上机,"文达楼602,文博楼504,文德楼203",55,51,嘉定,,一7-8,文商楼407
15575177,跨文化管理,4,2001,聂晶,二5-6 四5-6,文博楼406,65,61,嘉定,,四3-4,文商楼314
15575177,跨文化管理,4,2002,聂晶等,二7-8 四7-8 含国际生 全英文,"文达楼602,文博楼303",65,47,嘉定,,四3-4,文商楼314
15575193,经济学(1),5,2001,计志英,一5-6 三3-4单 四5-6,"文博楼301,文达楼602,文博楼302",55,41,嘉定,,四3-4,文商楼409
